target_url,source_list_oira
ncahappspub.aphis.usda.gov,TRUE
nccdb.fmcsa.dot.gov,TRUE
nef.nasa.gov,TRUE
ness.nasa.gov,TRUE
npdes-ereporting.epa.gov,TRUE
nrs.ed.gov,TRUE
oashsps.my.site.com,TRUE
oeaaa.faa.gov,TRUE
ojp.gov,TRUE
olms.dol-esa.gov,TRUE
omms.sec.gov,TRUE
opeweb.ed.gov,TRUE
opsweb.phmsa.dot.gov,TRUE
cowebforms.aphis.usda.gov,TRUE
ordspub.epa.gov,TRUE
origin-staging.ams.usda.gov,TRUE
osha.gov,TRUE
oshaelearning.geniussis.com,TRUE
owcpmed.dol.gov,TRUE
partnerweb.usda.gov,TRUE
passportmatters.army.mil,TRUE
pay.gov,TRUE
pbc-brac-coordinator@fema.dhs.gov,TRUE
pfdps.tsa.dhs.gov,TRUE
portal.fema.gov,TRUE
portal.fmcsa.dot.gov,TRUE
portal.hud.gov,TRUE
portal.max.gov,TRUE
portal.phmsa.dot.gov,TRUE
preptoolkit.fema.gov,TRUE
prod.stb.gov,TRUE
profile.ncis.navy.mil,TRUE
public.govdelivery.com,TRUE
publicaffairs-sme.com,TRUE
publish.no.irs.gov,TRUE
railroads.dot.gov,TRUE
register.state.gov,TRUE
reporting.cottonboard.org,TRUE
respond.census.gov,TRUE
rrb.gov,TRUE
rsa.ed.gov,TRUE
safehelpline.org,TRUE
sdtmut.fincen.treas.gov,TRUE
secure.addp-ucci.com,TRUE
secure.dot.gov,TRUE
secure.rrb.gov,TRUE
securegrants.neh.gov,TRUE
seedhealth.org,TRUE
snaped.fns.usda.gov,TRUE
snapedtoolkit.org,TRUE
snapqcs.fns.usda.gov,TRUE
sscr.osmre.gov,TRUE
sso.fema.net,TRUE
state.gov,TRUE
step.state.gov,TRUE
store.usgs.gov,TRUE
studentaid.gov,TRUE
studentprivacy.ed.gov,TRUE
survey.rti.org,TRUE
surveymonkey.com,TRUE
surveys.ope.ed.gov,TRUE
suveymonkey.com,TRUE
tcli@ed.gov,TRUE
teas.uspto.gov,TRUE
teasg.uspto.gov,TRUE
teasi.uspto.gov,TRUE
ticdata.treasury.gov,TRUE
timsweb.bsee.gov,TRUE
touchpoints.app.cloud.gov,TRUE
tp:,TRUE
transform.mindgarden.com,TRUE
travel.state.gov,TRUE
treasurydirect.gov,TRUE
trio.ed.gov,TRUE
trip.dhs.gov,TRUE
tripclaims.treas.gov,TRUE
ttb.gov,TRUE
ttp:,TRUE
ucrstat@leo.gov,TRUE
universalenroll.dhs.gov,TRUE
urcstats.leo.gov,TRUE
us-cert.cisa.gov,TRUE
usdagcc.sharepoint.com,TRUE
usepa.sharepoint.com,TRUE
userfees.fda.gov,TRUE
usfema.sharepoint.com,TRUE
usna.tfaforms.net,TRUE
vaww.va.gov,TRUE
vets.gov,TRUE
vets4212.dol.gov,TRUE
view.officeapps.live.com,TRUE
vsapps.aphis.usda.gov,TRUE
webapps.dol.gov,TRUE
ww.gms.gov,TRUE
ww.sba.gov,TRUE
www,TRUE
911.gov,TRUE
accessdata.fda.gov,TRUE
agcounts.usda.gov,TRUE
americorps.gov,TRUE
ams.usda,TRUE
ams.usda.gov,TRUE
ap.gov,TRUE
aphis.usda.gov,TRUE
apprenticeship.gov,TRUE
archives.gov,TRUE
archives.gov.veterans,TRUE
asc.gov,TRUE
askebsa.dol.gov,TRUE
atf.gov,TRUE
atfonline.gov,TRUE
aviationsurvey.org,TRUE
avuedigitalservices.com,TRUE
bea.gov,TRUE
beefboard.org,TRUE
benefits.gov,TRUE
benefits.va.gov,TRUE
bia.gov,TRUE
bis.doc.gov,TRUE
blm.gov,TRUE
bls.gov,TRUE
boem.gov,TRUE
bsee.gov,TRUE
cbp.gov,TRUE
cdfifund.gov,TRUE
cdp.dhs.gov,TRUE
cdx.gov,TRUE
census.gov,TRUE
ceprovider.us,TRUE
cfsan.fda.gov,TRUE
cftc.gov,TRUE
citizenshiptoolkit.gpo.gov,TRUE
closecall.bts.gov,TRUE
cms.gov,TRUE
concessions.nps.gov,TRUE
cpsc.gov,TRUE
csrees.usda.gov,TRUE
currently-under-development.gov,TRUE
cwc.gov,TRUE
dea.gov,TRUE
deadiversion.usdoj.gov,TRUE
deadiversion@usdoj.gov,TRUE
deaecom.gov,TRUE
dhs.gov,TRUE
disasteraid.fema.gov,TRUE
distributor.hcup-us.ahrq.gov,TRUE
dmdc.osd.mil,TRUE
doi.gov,TRUE
dol.gov,TRUE
dot.gov,TRUE
dtic.mil,TRUE
dtra.mil,TRUE
dvlottery.state.gov,TRUE
eac.gov,TRUE
ecfr.gov,TRUE
ecomp.dol.gov,TRUE
ed.gov,TRUE
eeoc.gov,TRUE
eere-pmc.energy.gov,TRUE
eia.gov,TRUE
energystar.gov,TRUE
epa.gov,TRUE
esd.whs.mil,TRUE
etran.gov,TRUE
exim.gov,TRUE
faa,TRUE
faa.gov,TRUE
fanniemae.com,TRUE
fbi.gov,TRUE
fcc.gov,TRUE
fda.gov,TRUE
fdic.gov,TRUE
federalregister.gov,TRUE
federalreserve.gov,TRUE
fema,TRUE
fema.gov,TRUE
ferc.gov,TRUE
ffiec.gov,TRUE
fhfa.gov,TRUE
fincen.gov,TRUE
finra.org,TRUE
fiscal.treasury.gov,TRUE
fmc.gov,TRUE
fmcs.gov,TRUE
fmcsa.dot.gov,TRUE
fns.usda.gov,TRUE
fp.ed.gov,TRUE
fprs.fns.gov,TRUE
fprs.gov,TRUE
fra.dot.gov,TRUE
fs.fed.us,TRUE
ftc.gov,TRUE
fws.gov,TRUE
g5.gov,TRUE
gcr1.com,TRUE
gibill.va.gov,TRUE
gipsa.usda.gov,TRUE
gms.gov,TRUE
gomr.boemre.gov,TRUE
gov,TRUE
gpo.gov,TRUE
grants.gov,TRUE
greenstrides.org,TRUE
gsa.gov,TRUE
gsa.portal.forms,TRUE
haskell.edu,TRUE
hcup-us.ahrq.gov,TRUE
hhs.gov,TRUE
hud.gov,TRUE
hungerfreeamerica.org,TRUE
iacb.doi.gov,TRUE
ic3.gov,TRUE
ice.gov,TRUE
ihs.gov,TRUE
imls.gov,TRUE
insurance.va.gov,TRUE
iprcenter.gov,TRUE
irs.gov,TRUE
juntos.gov,TRUE
justgrants.gov,TRUE
justice.gov,TRUE
malware.us-cert.gov,TRUE
marad.dot.gov,TRUE
maritime.dot.gov,TRUE
medicaid.gov,TRUE
msha.gov,TRUE
muskie.usm.maine.edu,TRUE
nationalservice.gov,TRUE
ncjrs.gov,TRUE
ncua.gov,TRUE
neh.gov,TRUE
netcom.army.mil,TRUE
newyorkfed.org,TRUE
nmvtis.gov,TRUE
nps.gov,TRUE
nrc.gov,TRUE
nsf.gov,TRUE
nsmosurvey.com,TRUE
nycalc.org,TRUE
occ.gov,TRUE
ocio.usda.gov,TRUE
oge.gov,TRUE
ojp.gov,TRUE
ojp.usdoj.gov,TRUE
onetcodeconnector.org,TRUE
onrr.gov,TRUE
opinion.wsu.edu,TRUE
opm.gov,TRUE
opsweb.phmsa.dot.gov,TRUE
opsweb.phmsa.dot.gov.,TRUE
osc.gov,TRUE
osha.gov,TRUE
osmre.gov,TRUE
passportplanning.com,TRUE
pay.gov,TRUE
pay.va.gov,TRUE
pbgc.gov,TRUE
peacecorps.gov,TRUE
phmsa.dot.gov,TRUE
pmddtc.state.gov,TRUE
poultryimprovement.org,TRUE
pso.ahrq.gov,TRUE
psoppc.org,TRUE
pwrc.usgs.gov,TRUE
rd.usda.gov,TRUE
rita.dot.gov,TRUE
rurdev.usda.gov,TRUE
safercar.gov,TRUE
samhsa.gov,TRUE
sba.gov,TRUE
sc.egov.usda.gov,TRUE
sec.gov,TRUE
seedhealth.org,TRUE
selectagents.gov,TRUE
sipi.edu,TRUE
socialsecurity.gov,TRUE
ssa.gov,TRUE
sss.gov,TRUE
state.gov,TRUE
stb.dot.gov,TRUE
stb.gov,TRUE
surveymonkey.com,TRUE
together.gov,TRUE
trade.gov,TRUE
transportation.gov,TRUE
travel.state.gov,TRUE
treasury.gov,TRUE
treasurydirect.gov,TRUE
tricare-west.com,TRUE
tsa.gov,TRUE
ttb.gov &amp,TRUE
ttbonline.gov,TRUE
tva.gov,TRUE
us-cert.gov,TRUE
usa-federal-forms.com,TRUE
usace.army.mil,TRUE
usbr.gov,TRUE
uscg.mil,TRUE
uscis.gov,TRUE
usda..gov,TRUE
usda.gov,TRUE
usda.gov.rus,TRUE
usdalocalfoodportal.com,TRUE
usdoj.gov,TRUE
usitc.gov,TRUE
usmma.edu,TRUE
usna.edu,TRUE
uspto-qs.org,TRUE
uspto.gov,TRUE
uspto.gov'forms,TRUE
usvsst.com,TRUE
va.gov,TRUE
vaonce.vba.va.gov,TRUE
vawamei.org,TRUE
vba.va.gov,TRUE
vbavaleri.com,TRUE
vbavaleri.net,TRUE
vip.vetbiz.gov,TRUE
watermelon.org,TRUE
whistleblowers.gov,TRUE
whitehouse.gov,TRUE
wipo.int,TRUE
www1.va.gov,TRUE
www2.epa.gov,TRUE
www2.fmc.gov,TRUE
yosemite.epa.gov,TRUE
