Website,Public-Facing
2001-2009.commerce.gov,Yes
2001-2009.state.gov,Yes
2009-2017-fpc.state.gov,Yes
2009-2017-usun.state.gov,Yes
2009-2017.state.gov,Yes
2010-2014.commerce.gov,Yes
2012-keystonepipeline-xl.state.gov,Yes
2014-2017.commerce.gov,Yes
2014-2018.firstnet.gov,Yes
2017-2021.commerce.gov,Yes
2017-2021.state.gov,Yes
2021dodtransition.defense.gov,--
2025dodtransition.defense.gov,Yes
20af.af.mil,Yes
20cbrne.army.mil,Yes
20watersheds.epa.gov,Yes
21apr.ed.gov,No
21tsc.army.mil,Yes
22007apply.gov,Yes
22af.afrc.af.mil,Yes
22ndmeu.marines.mil,Yes
24thmeu.marines.mil,Yes
26thmeu.marines.mil,Yes
29palms.marines.mil,Yes
2af.aetc.af.mil,Yes
2cr.army.mil,Yes
2id.korea.army.mil,Yes
2idb.xray.aps.anl.gov,Yes
2ndmardiv.marines.mil,Yes
2ndmarines.marines.mil,Yes
2ndmaw.marines.mil,Yes
2ndmeb.marines.mil,Yes
2ndmlg.marines.mil,Yes
2sigbde.army.mil,Yes
301fw.afrc.af.mil,Yes
302aw.afrc.af.mil,Yes
307bw.afrc.af.mil,Yes
310sw.afrc.af.mil,Yes
315aw.afrc.af.mil,Yes
31stmeu.marines.mil,Yes
33fw.af.mil,Yes
340bpricing.hrsa.gov,No
340bregistration.hrsa.gov,No
340ftg.afrc.af.mil,Yes
349amw.afrc.af.mil,Yes
350sww.af.mil,Yes
352sow.af.mil,Yes
353sow.af.mil,Yes
37trw.af.mil,Yes
388fw.acc.af.mil,Yes
3dhrs.epa.gov,Yes
3dmaggs.larc.nasa.gov,Yes
3rdmardiv.marines.mil,Yes
3rdmarines.marines.mil,Yes
3rdmaw.marines.mil,Yes
3rdmeb.marines.mil,Yes
3rdmlg.marines.mil,Yes
3rdmlr.marines.mil,Yes
400yaahc.gov,Yes
403wg.afrc.af.mil,Yes
405d.hhs.gov,Yes
409csb.army.mil,Yes
413ftg.afrc.af.mil,Yes
419fw.afrc.af.mil,Yes
41fab.army.mil,Yes
433aw.afrc.af.mil,Yes
442fw.afrc.af.mil,Yes
445aw.afrc.af.mil,Yes
446aw.afrc.af.mil,Yes
459arw.afrc.af.mil,Yes
477fg.afrc.af.mil,Yes
492sow.af.mil,Yes
4af.afrc.af.mil,Yes
4innovation-impl.cms.gov,No
4innovation.cms.gov,No
4thmcd.marines.mil,Yes
501csw.usafe.af.mil,Yes
505ccw.acc.af.mil,Yes
507arw.afrc.af.mil,Yes
512aw.afrc.af.mil,Yes
514amw.afrc.af.mil,Yes
521amow.af.mil,Yes
53rdwing.af.mil,Yes
552acw.acc.af.mil,Yes
557weatherwing.af.mil,Yes
55comcam.army.mil,Yes
56ac.army.mil,Yes
59mdw.af.mil,Yes
5af.pacaf.af.mil,Yes
5gchallenge.ntia.gov,Yes
60plus.smokefree.gov,Yes
618tacc.amc.af.mil,Yes
620forecasts.app.cloud.gov,No
624rsg.afrc.af.mil,Yes
68tmc.army.mil,Yes
6thmarines.marines.mil,Yes
6thmcd.marines.mil,Yes
7-seas.gsfc.nasa.gov,Yes
7af.pacaf.af.mil,Yes
7atc.army.mil,Yes
7id.xray.aps.anl.gov,Yes
7trestingstate.ctss.nih.gov,Yes
889.smartpay.gsa.gov,Yes
8af.af.mil,Yes
8astars.fas.gsa.gov,Yes
8thmarines.marines.mil,Yes
8thmcd.marines.mil,Yes
9-11commission.gov,Yes
901energyfacts.com,No
908aw.afrc.af.mil,Yes
908ftw.afrc.af.mil,Yes
911.gov,Yes
911commission.gov,Yes
913ag.afrc.af.mil,Yes
916arw.afrc.af.mil,Yes
919sow.afrc.af.mil,Yes
920rqw.afrc.af.mil,Yes
926wing.afrc.af.mil,Yes
927arw.afrc.af.mil,Yes
931arw.afrc.af.mil,Yes
932aw.afrc.af.mil,Yes
940arw.afrc.af.mil,Yes
944fw.afrc.af.mil,Yes
960cyber.afrc.af.mil,Yes
988lifeline.org,Yes
9thmcd.marines.mil,Yes
a-pes.mmrp.usmc.mil,--
a2d1portal.navsea.navy.mil,--
a2e.energy.gov,Yes
aa.usno.navy.mil,Yes
aab.larc.nasa.gov,Yes
aacinquiry.fas.gsa.gov,No
aad.archives.gov,Yes
aal.mil,Yes
aams.epa.gov,Yes
aaro.mil,Yes
aas.gsa.gov,Yes
aasis.omha.hhs.gov,Yes
aasportal.fra.dot.gov,Yes
aatc.ang.af.mil,Yes
ab2d.cms.gov,Yes
abacusmhs.health.mil,--
abarrshvuat.ofac.treas.gov,No
abc.lbl.gov,Yes
abclab.jpl.nasa.gov,Yes
abmc.gov,Yes
about.lanl.gov,Yes
aboutusa.japan.usembassy.gov,No
above.nasa.gov,Yes
abp.cr.usgs.gov,Yes
abpdu.lbl.gov,Yes
ac.cto.mil,Yes
acc.af.mil,Yes
accedeainternet.gov,Yes
accelerate.census.gov,Yes
access-board.gov,Yes
access.earthdata.nasa.gov,Yes
access.fda.gov,Yes
access.ginniemae.gov,Yes
access.va.gov,Yes
access1.bpa.gov,No
accessclinicaldata.niaid.nih.gov,Yes
accesscm.navy.mil,Yes
accessdata.fda.gov,Yes
accessgudid.nlm.nih.gov,Yes
accessibility.18f.gov,Yes
accessibility.digital.gov,Yes
accesstest.trade.gov,No
accesstocare.va.gov,Yes
accfaaaccess.ed.gov,Yes
account.ncbi.nlm.nih.gov,Yes
accounts.ahrq.gov,No
accounts.alcf.anl.gov,No
accounts.cels.anl.gov,No
accounts.lb.csp.noaa.gov,No
accounts.noaa.gov,No
accpiv.treasury.gov,No
accs.cap.gov,Yes
accsso.treasury.gov,No
acd-ext.gsfc.nasa.gov,Yes
acd-pub.gsfc.nasa.gov,Yes
acd.od.nih.gov,Yes
ace-d3.cbp.gov,Yes
ace-d6.cbp.gov,Yes
ace-sat.cbp.gov,Yes
ace.cbp.dhs.gov,--
ace.cbp.gov,Yes
ace.niaid.nih.gov,Yes
acetool.commerce.gov,Yes
acf.hhs.gov,Yes
aci.nichd.nih.gov,Yes
acis.eoir.justice.gov,Yes
ack.usaccess.gsa.gov,No
acl.gov,Yes
acmc.marines.mil,Yes
acms.aphis.usda.gov,No
acmt.bis.doc.gov,No
acode-browser.usatlas.bnl.gov,Yes
acode-browser2.usatlas.bnl.gov,Yes
acoms-impl.cms.gov,No
acoms.cms.gov,No
acowits.defense.gov,Yes
acq-map.od.nih.gov,No
acq.osd.mil,Yes
acqdemo.hci.mil,Yes
acquisition.gov,Yes
acquisition.jpl.nasa.gov,Yes
acquisitionacademy.va.gov,Yes
acquisitiongateway.gov,Yes
acquisitioninnovation.darpa.mil,Yes
acquisitions.usajobs.gov,Yes
acqweb.staging.acqebiz.mil,Yes
acsl.ars.usda.gov,No
act24.nci.nih.gov,No
actev.nist.gov,Yes
actiontracker-jpss.nesdis.noaa.gov,No
activate.larc.nasa.gov,Yes
actribe.nsopw.gov,Yes
acts.nmci.navy.smil.mil,Yes
actsonline.army.mil,Yes
actuary.defense.gov,Yes
actuary.usajobs.gov,Yes
acwi.gov,Yes
ad-esh.fnal.gov,Yes
ad.fnal.gov,Yes
ada.gov,Yes
adams.nrc.gov,Yes
adamswebsearch2.nrc.gov,Yes
adc.arm.gov,Yes
addictionresearch.nih.gov,Yes
addr.dencom.army.mil,Yes
address.ncjrs.gov,No
ade.navy.mil,Yes
adfs.ncis.navy.mil,Yes
adfs.nsf.gov,No
adfs.pnnl.gov,No
adgsupport.state.gov,No
adlnet.gov,Yes
admin-ovcncvrw.ncjrs.gov,Yes
admin.mytva.com,No
admin.nag.navy.mil,Yes
adms.fnal.gov,Yes
adoptionusca.state.gov,Yes
adp.noaa.gov,Yes
adr.af.mil,Yes
ads.tva.gov,No
adsorption.nist.gov,Yes
adss.dc3n.navy.mil,Yes
adstracker.cdan.dot.gov,Yes
adt.larc.nasa.gov,Yes
advancedprojects.pppl.gov,No
adviserinfo.sec.gov,Yes
advocacy.sba.gov,Yes
ae.usembassy.gov,Yes
aec.army.mil,Yes
aefla.ed.gov,Yes
ael.gsfc.nasa.gov,Yes
aeon.hosc.msfc.nasa.gov,No
aeonivv2.hosc.msfc.nasa.gov,No
aeonivv2ms.hosc.msfc.nasa.gov,No
aeonivv2owa.hosc.msfc.nasa.gov,No
aeonivv2sk.hosc.msfc.nasa.gov,No
aeonivv2sp.hosc.msfc.nasa.gov,No
aeonms.hosc.msfc.nasa.gov,No
aeonodte.hosc.msfc.nasa.gov,No
aeonodte2.hosc.msfc.nasa.gov,No
aeonowa.hosc.msfc.nasa.gov,No
aeonsk.hosc.msfc.nasa.gov,No
aeonsp.hosc.msfc.nasa.gov,No
aepubs.eur.army.mil,Yes
aero-fp.larc.nasa.gov,Yes
aero.larc.nasa.gov,Yes
aerocenter.gsfc.nasa.gov,Yes
aeroelasticity.larc.nasa.gov,Yes
aeronautical.nga.mil,Yes
aeronet.gsfc.nasa.gov,Yes
aesics.cr.usgs.gov,Yes
aesir.gsfc.nasa.gov,No
aetc.af.mil,Yes
aether.lbl.gov,Yes
af.mil,Yes
af.okta.mil,Yes
af.usembassy.gov,Yes
afaa.af.mil,Yes
afaccessionscenter.af.mil,Yes
afadsc.mil,Yes
afadvantage.gov,Yes
afams.af.mil,Yes
afbpap.experience.crmforce.mil,--
afcec.af.mil,Yes
afcent.af.mil,Yes
afd.defense.gov,Yes
afdc.energy.gov,Yes
afdw.af.mil,Yes
aff.gov,No
affordableconnectivity.gov,Yes
afgsc.af.mil,Yes
afhistory.af.mil,Yes
afhistoryandmuseums.af.mil,Yes
afhra.af.mil,Yes
afimsc.af.mil,Yes
afinspectorgeneral.af.mil,Yes
afjag.af.mil,Yes
aflcmc.af.mil,Yes
aflegalassistance.law.af.mil,Yes
aflink-test.mil,Yes
afm.fmi.gov,No
afmaa.af.mil,Yes
afmc.af.mil,Yes
afmss.blm.gov,Yes
afn-now.myafn.mil,Yes
afn.mil,--
afnconnect.myafn.dodmedia.osd.mil,Yes
afni.nimh.nih.gov,Yes
afnwc.af.mil,Yes
afod.eur.army.mil,Yes
afotec.af.mil,Yes
afpc.af.mil,Yes
afrc.af.mil,Yes
africom.mil,Yes
afrims.health.mil,Yes
afrl.af.mil,Yes
afrl.hpc.mil,--
afsas.safety.af.mil,Yes
afsbeurope.army.mil,Yes
afsbirsttr.af.mil,Yes
afsc.af.mil,Yes
afscsoftware.dso.mil,Yes
afsfc.af.mil,Yes
afsoc.af.mil,Yes
afsouth.af.mil,Yes
afspc.af.mil,Yes
aft3.af.mil,Yes
aftc.af.mil,Yes
afwerx.af.mil,Yes
agc.army.mil,Yes
agclass.nal.usda.gov,Yes
age.edc.usda.gov,No
agencyportal.usajobs.gov,Yes
agents.floodsmart.gov,Yes
ageweb.irp.nia.nih.gov,No
agewebportal.erdc.dren.mil,Yes
aghealth.nih.gov,Yes
agid.acl.gov,Yes
agile.18f.gov,Yes
agile.tva.gov,No
agileplaybook.tva.gov,No
agingresearchbiobank.nia.nih.gov,Yes
agingstats.gov,Yes
agisportal.lanl.gov,No
aglab-prod.arsnet.usda.gov,Yes
aglearn.usda.gov,No
agp.navfac.navy.mil,Yes
agresearchmag.ars.usda.gov,No
ahat.sc.egov.usda.gov,No
ahead.hiv.gov,Yes
ahed.nasa.gov,Yes
ahrpo.army.mil,Yes
ahrq.gov,Yes
ahss.usmc.mil,Yes
ai-workshop-2020.jpl.nasa.gov,Yes
ai.fmcsa.dot.gov,Yes
ai.jpl.nasa.gov,Yes
ai.mil,Yes
aiaa-dpw.larc.nasa.gov,Yes
aiaccelerator.af.mil,Yes
aidscape.usaid.gov,Yes
aidscapeuat.usaid.gov,No
aidvantage.com,Yes
ails.arc.nasa.gov,Yes
aim-ctx.ncdc.navy.mil,Yes
aim.nrel.gov,Yes
aimproteus.ctss.nih.gov,Yes
aims.nesdis.noaa.gov,No
aimtc.nuwc.navy.mil,Yes
aipl.arsusda.gov,No
aiptest.rma.usda.gov,No
air663.app.cloud.gov,No
airbornescience.jpl.nasa.gov,Yes
airbornescience.nasa.gov,Yes
airc.nist.gov,Yes
aircrafticing.grc.nasa.gov,Yes
airdomainintelligence.mil,Yes
airforce.usajobs.gov,Yes
airforceacademy.tricare.mil,Yes
airforcebes.af.mil,Yes
airforcemedicine.af.mil,Yes
airforcesmallbiz.af.mil,Yes
airforcespecialtactics.af.mil,Yes
airknowledge.gov,Yes
airlant.usff.navy.mil,Yes
airleakage-calc.ornl.gov,Yes
airman.af.mil,Yes
airmanmagazine.af.mil,Yes
airmoss.jpl.nasa.gov,Yes
airmoss.ornl.gov,Yes
airnow-green.app.cloud.gov,No
airnow.gov,Yes
airpac.navy.mil,Yes
airquality.gsfc.nasa.gov,Yes
airquality.lanl.gov,Yes
airquality.weather.gov,Yes
airrange.ssc.nasa.gov,Yes
airs.jpl.nasa.gov,Yes
airsar.jpl.nasa.gov,Yes
airsea.jpl.nasa.gov,Yes
airshows.pa.hq.af.mil,Yes
airsl0.gesdisc.eosdis.nasa.gov,No
airsl1.gesdisc.eosdis.nasa.gov,No
airsl2.gesdisc.eosdis.nasa.gov,No
airsnrt.jpl.nasa.gov,Yes
airsteam.jpl.nasa.gov,Yes
airuniversity.af.edu,Yes
airuniversity.af.mil,Yes
airworthiness.navair.navy.mil,Yes
ais.ctss.nih.gov,Yes
ais.usvisa-info.com,Yes
ak-chin.nsopw.gov,Yes
ak.ng.mil,Yes
ak3.acl.gov,No
akadev-ion-hhs.gov,No
akama.arc.nasa.gov,Yes
akaprod-betobaccofree.hhs.gov,Yes
akaprod-digitalmedia.hhs.gov,Yes
akaprod-foodsafety.gov,Yes
akaprod-stopbullying.gov,Yes
akaqa-ion-hhs.gov,Yes
akwg.cap.gov,Yes
al.ng.mil,Yes
al.usembassy.gov,Yes
alaska-mdc.diver.orr.noaa.gov,Yes
alaska.jobcorps.gov,Yes
albany.marines.mil,Yes
albedomap.lbl.gov,Yes
albuquerque.jobcorps.gov,Yes
alcf.anl.gov,Yes
alcoholpolicy.niaaa.nih.gov,Yes
alcoholtreatment.niaaa.nih.gov,Yes
aldo.ctss.nih.gov,Yes
alert.nih.gov,No
alerts-v2.weather.gov,Yes
alerts.pnnl.gov,Yes
alerts.weather.gov,Yes
alerts1.mcdsus.mcds.usmc.mil,Yes
all-sorns.app.cloud.gov,No
allaccess.lbl.gov,Yes
allhands.navy.mil,Yes
allofus.nih.gov,Yes
allofus.nnlm.gov,Yes
allofustec.nnlm.gov,Yes
alm.csd.disa.mil,Yes
almpt.csd.disa.mil,Yes
alpenacrtc.ang.af.mil,Yes
alpha-api.urs.eosdis.nasa.gov,No
alpha.cpars.gov,No
alpha.ngs.noaa.gov,Yes
alpha.sam.gov,No
alpha.urs.eosdis.nasa.gov,No
alpha2.sam.gov,No
als.lbl.gov,Yes
alsa.mil,Yes
alshub.als.lbl.gov,Yes
alssa.mil,Yes
alsusweb.lbl.gov,No
altus.af.mil,Yes
altus.tricare.mil,Yes
altvdi.dtra.mil,Yes
alumni.ilea.state.gov,Yes
alumni.state.gov,Yes
alumni.udall.gov,Yes
alvarezphysicsmemos.lbl.gov,Yes
alwg.cap.gov,Yes
alzheimers.gov,Yes
alzped.nia.nih.gov,Yes
am.usembassy.gov,Yes
amac.lbl.gov,Yes
amberalert.ojp.gov,No
amberjackm.nmfs.noaa.gov,Yes
ambismobile.niaid.nih.gov,No
ambismobileqa.niaid.nih.gov,No
amc.af.mil,Yes
amc.army.mil,Yes
amclg.csd.disa.mil,Yes
amcom.army.mil,Yes
amdar.ncep.noaa.gov,Yes
amdar.noaa.gov,Yes
amdsb.larc.nasa.gov,Yes
ameddciviliancorps.amedd.army.mil,Yes
americanenglish.state.gov,Yes
americansamoa.noaa.gov,No
americansamoa.nsopw.gov,Yes
americanspaces.state.gov,Yes
ameriflux-data.lbl.gov,No
ameriflux.lbl.gov,Yes
ameslab.gov,Yes
amhs.jmhs.cpf.navy.mil,Yes
amhs.jmhs.cpf.navy.smil.mil,Yes
amis.cdfifund.gov,Yes
amlc.army.mil,Yes
amlis.osmre.gov,Yes
ammd.nist.gov,Yes
ammos.nasa.gov,Yes
amo-csd.lbl.gov,Yes
amoc-css.cbp.dhs.gov,Yes
amos.lbl.gov,Yes
amp.cdc.gov,No
ampb.larc.nasa.gov,Yes
amphib7flt.navy.mil,Yes
amplification.training.nij.gov,No
amps.dla.mil,--
amputation.research.va.gov,Yes
ampx.ornl.gov,Yes
amri.ninds.nih.gov,Yes
amrs.defense.gov,Yes
ams-02project.jsc.nasa.gov,No
ams.hhs.gov,No
ams.navair.navy.mil,Yes
ams.prod.usda.gov,No
ams.usda.gov,Yes
amspaces.state.gov,Yes
amsrrashore.csd.disa.mil,Yes
amu.nemsis.org,Yes
amview.japan.usembassy.gov,Yes
anaalaska.org,Yes
anaconda.jobcorps.gov,Yes
anacostiabolling.tricare.mil,Yes
anad.army.mil,Yes
anag-repo.lbl.gov,Yes
analogstudies.jsc.nasa.gov,Yes
analysis.sns.gov,Yes
analysistools.cancer.gov,Yes
analyst.gsfc.nasa.gov,Yes
analytics.app.cloud.gov,No
analytics.tva.gov,No
analytics.usa.gov,Yes
anchordesk.navy.smil.mil,Yes
andersen.af.mil,Yes
andersen.tricare.mil,Yes
andrews.tricare.mil,Yes
ang.af.mil,Yes
angell.jobcorps.gov,Yes
angtec.ang.af.mil,Yes
animaldrugsatfda.fda.gov,Yes
animalresearch.nih.gov,No
anl.gov,Yes
annapolis.tricare.mil,Yes
annarbor.hsrd.research.va.gov,Yes
annarbor.research.va.gov,Yes
annie.fnal.gov,Yes
annotation.blogs.archives.gov,Yes
annualmeritreview.energy.gov,Yes
annualreport.nichd.nih.gov,Yes
anp.lbl.gov,Yes
anrpl.com,No
ansrp.el.erdc.dren.mil,Yes
answer.mycreditunion.gov,Yes
answers.hud.gov,Yes
answers.usgs.gov,Yes
antarcticsun.usap.gov,Yes
ants.jieddo.mil,--
anxietycognition.ctss.nih.gov,Yes
anxietyexercise.ctss.nih.gov,Yes
anyconnect.dhs.gov,No
anyconnect1.dhs.gov,No
anyconnect2.dhs.gov,No
anyconnect3.dhs.gov,No
anyconnect4.dhs.gov,No
anywhere.gsa.gov,No
ao.jpl.nasa.gov,Yes
ao.usembassy.gov,Yes
aocground.omao.noaa.gov,Yes
aom.giss.nasa.gov,Yes
aopdb.epa.gov,Yes
aoprals.state.gov,Yes
aos.gsfc.nasa.gov,Yes
aotus.blogs.archives.gov,Yes
aotus11.blogs.archives.gov,Yes
aou.nnlm.gov,Yes
apacs.milcloud.mil,Yes
apcrp.el.erdc.dren.mil,Yes
apd440.gsfc.nasa.gov,Yes
apfs-cloud.dhs.gov,Yes
aphis.usda.gov,Yes
aphysics2.lanl.gov,Yes
api-alpha.sam.gov,No
api.abmc.gov,No
api.army.mil,Yes
api.benefits.gov,No
api.bls.gov,Yes
api.bluebutton.cms.gov,Yes
api.data.gov,Yes
api.dencom.army.mil,Yes
api.digitalmedia.hhs.gov,No
api.dol.gov,No
api.globe.gov,No
api.nasa.gov,Yes
api.nhtsa.gov,Yes
api.ojp.gov,No
api.open.fec.gov,Yes
api.rk.tsp.gov,Yes
api.sam.gov,No
api.seer.cancer.gov,Yes
api.urs.eosdis.nasa.gov,No
api2.foia.gov,No
apisstaging.niaaa.nih.gov,No
apistaging.globe.gov,No
aplits.disa.mil,Yes
apm.tva.gov,No
apod.nasa.gov,Yes
apology.pnl.gov,No
app-template.jgi.doe.gov,No
app.fac.gov,Yes
app.isqft.com,No
app.mcboss.usmc.mil,Yes
app.ntsb.gov,No
app.truelook.com,No
app1.innovation.cms.gov,Yes
appeals.sba.gov,Yes
appeears.earthdatacloud.nasa.gov,Yes
appel.nasa.gov,Yes
appian-dsc.fda.gov,No
appian-preprod-dsc.fda.gov,No
applicant.nga.mil,Yes
applicantportal.arts.gov,Yes
applications.cpfp.cancer.gov,Yes
applications.navsup.navy.mil,--
appliedenergyscience.lbl.gov,Yes
appliedsciences.nasa.gov,Yes
apply.fbijobs.gov,Yes
apply.pmf.gov,Yes
appointment.sba.gov,Yes
appointment.treasury.gov,Yes
apprenticeship.gov,Yes
apps-afsc.fisheries.noaa.gov,Yes
apps-beta.nationalmap.gov,Yes
apps.conservation.gov,Yes
apps.dat.noaa.gov,No
apps.dse.futures.army.mil,Yes
apps.dtic.mil,--
apps.fca.gov,Yes
apps.fcc.gov,Yes
apps.fs.usda.gov,Yes
apps.fsa.usda.gov,No
apps.irs.gov,Yes
apps.lex.doe.gov,No
apps.loanprograms.energy.gov,Yes
apps.mcboss.usmc.mil,Yes
apps.naep.ed.gov,Yes
apps.nag.navy.mil,Yes
apps.nasa.gov,Yes
apps.nationalmap.gov,Yes
apps.navsea.navy.mil,--
apps.nea.gov,Yes
apps.neh.gov,Yes
apps.nlrb.gov,No
apps.nmfs.noaa.gov,Yes
apps.nsa.gov,Yes
apps.nssl.noaa.gov,Yes
apps.ocfo.gsa.gov,Yes
apps.orau.gov,No
apps.tucson.ars.ag.gov,No
apps.usfa.fema.gov,Yes
apps.usgs.gov,Yes
apps2.eere.energy.gov,Yes
appvol.ninds.nih.gov,Yes
aps.anl.gov,Yes
aps.portal.cms.gov,No
aptcenter.research.va.gov,Yes
aqs.epa.gov,Yes
aqua.nasa.gov,Yes
ar.marines.mil,Yes
ar.usembassy.gov,Yes
aram-pilot.pnnl.gov,No
arba.army.pentagon.mil,Yes
arc.eeoc.gov,Yes
arc.fiscal.treasury.gov,Yes
arcgis.asdc.larc.nasa.gov,Yes
archive-origin.cdc.gov,Yes
archive.ada.gov,Yes
archive.ahrq.gov,Yes
archive.cdc.gov,Yes
archive.epa.gov,Yes
archive.fisheries.noaa.gov,Yes
archive.irsvideos.gov,Yes
archive.mbda.gov,Yes
archive.niams.nih.gov,Yes
archive.usgs.gov,No
archivedtd.ncbi.nlm.nih.gov,Yes
archives.gov,Yes
archives.hud.gov,Yes
archives.huduser.gov,Yes
archives.nida.nih.gov,Yes
archives.nih.gov,Yes
arcp.army.mil,Yes
arcr.niaaa.nih.gov,Yes
arcsos.arc.nasa.gov,Yes
arctic-colors.gsfc.nasa.gov,Yes
arctic.gov,Yes
arctic.noaa.gov,Yes
arcus.mil,Yes
arcvpn.nasa.gov,No
arcwerx.dso.mil,Yes
arcyber.army.mil,Yes
ardf.wr.usgs.gov,Yes
area051.wawg.cap.gov,Yes
arecibo.jobcorps.gov,Yes
ares.jsc.nasa.gov,Yes
argo.jpl.nasa.gov,Yes
aria-share.jpl.nasa.gov,Yes
aria.jpl.nasa.gov,Yes
arinvestments.cdc.gov,Yes
arinvestmentsdev.cdc.gov,No
arisapp.ars.usda.gov,No
arkansas.nationalguard.mil,Yes
arkinlab.bio,Yes
arl.noaa.gov,Yes
arlingtoncemetery.mil,Yes
arlingtonflyin.wawg.cap.gov,Yes
arm.fas.gsa.gov,Yes
arm.gov,Yes
armedforcessports.defense.gov,Yes
armi.usgs.gov,Yes
armweb0-cms.ornl.gov,Yes
army.mil,Yes
army.nationalguard.mil,Yes
armycivilianservice.usajobs.gov,Yes
armyhealthfacilities.amedd.army.mil,--
armyignited.army.mil,Yes
armyresilience.army.mil,--
armyrotc.army.mil,Yes
armyupress.army.mil,Yes
arnold.af.mil,Yes
arnorth.army.mil,Yes
arpa-e-epic.energy.gov,Yes
arpa-e-foa.energy.gov,Yes
arpa-e.energy.gov,Yes
arpa-h-careers.usajobs.gov,Yes
arpa-h.gov,Yes
arpc.afrc.af.mil,Yes
arpsp.cdc.gov,Yes
arpsp.glb.cdc.gov,No
arrows.emsl.pnnl.gov,Yes
arrs.ahrq.gov,No
arrtmc.er.usgs.gov,Yes
ars-grin.gov,Yes
ars.navatfp.dc3n.navy.mil,--
