Date,,5/6/21,5/11/21,7/14/21,7/19/21,8/17/21,11/9/21,11/16/21,11/24/21,12/17/21,12/21/21,12/28/21
How many urls don't have main_element_present_final_url?,,"16,266","16,248","16,348","16,361","16,358","16,364","16,363","16,471","16,486","16,308","16,572"
How many urls have a robots.txt detected?,,"6,338","6,333","6,327","6,280","6,295","6,319","6,321","6,223","6,232","6,253","6,512"
How many urls return a 2xx server code for their robots.txt?,,"9,678","9,705","9,773","9,779","9,790","9,928","9,898","9,840","9,826","9,843","10,160"
How many urls return a 3xx server code for their robots.txt?,,1,1,1,1,1,1,1,1,1,1,1
How many urls return a 4xx server code for their robots.txt?,,"9,378","9,356","9,381","9,437","9,438","9,452","9,482","9,537","9,604","9,601","9,719"
How many urls return a 5xx server code for their robots.txt?,,571,594,616,623,627,602,610,621,588,591,615
How many urls have a LIVE robots.txt?,,"9,653","9,680","9,748","9,754","9,765","9,903","9,873","9,815","9,801","9,818","10,135"
How many urls do not have a LIVE robots.txt?,,"9,975","9,976","10,023","10,086","10,091","10,080","10,118","10,184","10,218","10,218","10,360"
How many urls' robots.txt are text files?,,"6,102","6,090","6,074","6,046","6,057","6,070","6,072","5,975","5,984","6,008","6,259"
How many urls' robots.txt are another file type?,,"6,102","6,090","6,074","6,046","6,057","6,070","6,072","5,975","5,984","6,008","6,259"
How many urls' robots.txt redirect?,,"5,196","5,228","5,315","5,389","5,396","5,568","5,580","5,589","5,615","5,615","5,712"
How many urls' robots.txt file size were detected?,,"6,525","6,555","6,616","6,687","6,725","6,893","6,911","6,916","6,939","6,952","7,243"
How many urls' robots.txt have a crawl_delay?,,910,913,921,954,953,950,948,949,940,942,994
How many urls' robots.txt link to sitemaps?,,"1,265","1,269","1,273","1,264","1,274","1,319","1,320","1,335","1,353","1,358","1,430"
How many urls have a sitemap.xml detected?,,"2,194","2,227","2,240","2,226","2,237","2,244","2,227","2,221","2,223","2,120","2,259"
How many urls return a 2xx server code for their sitemap.xml?,,"6,626","6,693","6,796","6,842","6,888","7,019","6,972","7,016","7,007","6,992","7,235"
How many urls return a 3xx server code for their sitemap.xml?,,4,4,4,4,4,4,4,4,4,4,4
How many urls return a 4xx server code for their sitemap.xml?,,"12,375","12,312","12,301","12,329","12,297","12,317","12,362","12,318","12,377","12,403","12,598"
How many urls return a 5xx server code for their sitemap.xml?,,623,647,670,665,667,643,653,661,631,637,658
How many urls have a LIVE sitemap.xml?,,"6,601","6,668","6,771","6,817","6,863","6,994","6,947","6,991","6,982","6,967","7,210"
How many urls do not have a LIVE sitemap.xml?,,"13,027","12,988","13,000","13,023","12,993","12,989","13,044","13,008","13,037","13,069","13,285"
How many urls' sitemap.xml redirect?,,"6,373","6,415","6,525","6,597","6,660","6,830","6,845","6,855","6,887","6,987","7,122"
How many urls' sitemap.xml file size were detected?,,"2,330","2,376","2,390","2,435","2,459","2,625","2,636","2,639","2,655","2,668","2,827"
How many urls' sitemap.xml are xml files?,,"2,338","2,355","2,369","2,368","2,418","2,448","2,433","2,433","2,432","2,266","2,390"
How many urls' sitemap.xml are another file type?,,"22,300","22,283","22,269","22,270","22,220","168,766","22,283","22,283","22,284","79,902","79,778"
How many urls' sitemap.xml have an item count?,,916,919,924,920,918,939,940,938,928,867,905
How many urls' sitemap.xml have a pdf count?,,258,257,264,262,261,286,289,289,288,292,313
How many urls have third party services?,,"11,458","11,464","11,458","11,464","11,296","11,606","11,569","11,507","11,520","11,526","11,892"
How many urls have 1-5 third party services?,,"6,810","6,806","6,787","6,742","6,574","6,746","6,750","6,746","6,761","6,809","7,005"
How many urls have 6-10 third party services?,,"2,514","2,565","2,578","2,623","2,624","2,649","2,647","2,665","2,634","2,499","2,570"
How many urls have 11-20 third party services?,,"1,939","1,880","1,884","1,879","1,877","2,013","1,970","1,889","1,920","2,024","2,081"
How many urls have over 20 third party services?,,195,213,209,220,221,198,202,207,204,194,236
