Component,Site,URL
DOD,Institute for National Strategic Studies,inss.ndu.edu/
DOD,International Student Management Office,ismo.ndu.edu/
DOD,Joint Advertising Market Research and Studies,jamrs.defense.gov/
DOD,Joint Enabling Capabilities Command,www.jecc.mil/
DOD,Joint Forces Staff College,jfsc.ndu.edu/
DOD,Keystone,keystone.ndu.edu
DOD,Manufacturing and Industrial Base Policy,www.businessdefense.gov
DOD,Medical Education and Training Campus,www.metc.mil
DOD,Military Awards for Valor,valor.defense.gov
DOD,Military Pay,militarypay.defense.gov
DOD,Minerva Research Initiative,minerva.defense.gov
DOD,National Defense University,www.ndu.edu/
DOD,National Defense University Press,ndupress.ndu.edu/
DOD,National Intelligence Manager for Aviation (NIM-A),www.airdomainintelligence.mil/
DOD,National Reconnaissance Office,www.nro.gov
DOD,National Security Agency,www.nsa.gov
DOD,National Security Agency Inspector General,oig.nsa.gov
DOD,National War College,http://nwc.ndu.edu/
DOD,North American Aerospace Defense Command,www.norad.mil/
DOD,OASD for Intelligence Oversight,http://dodsioo.defense.gov/
DOD,Office of Diversity Management and Equal Opportunity,diversity.defense.gov/
DOD,Office of People of Analytics (OPA),opa.defense.gov
DOD,Office of Small Business Programs (Business.Defense),http://business.defense.gov/
DOD,Office of the Actuary,actuary.defense.gov/
DOD,Office of the Deputy Assistant Secretary of Defense for Military Community & Family Policy (DoD MWR and Resale Policy),dodmwrandresalepolicy.defense.gov
DOD,Office of the General Counsel,ogc.osd.mil
DOD,Office of the Under Secretary of Defense for Intelligence,ousdi.defense.gov
DOD,Open Data,data.defense.gov/
DOD,OSD Historical Office,history.defense.gov/
DOD,OUSD Information and Security Policy,www.dodcui.mil
DOD,OUSD Policy,policy.defense.gov/
DOD,Pentagon Force Protection Agency,www.pfpa.mil
DOD,Periodic Review Secretariat,www.prs.mil/
DOD,Pinnacle,pinnacle.ndu.edu/
DOD,Purview (was DoDLive),purview.dodlive.mil
DOD,Recovering Warrior Task Force,rwtf.defense.gov/
DOD,Reserve Component National Security Course,rcnsc.ndu.edu
DOD,Reserve Forces Policy Board,rfpb.defense.gov/
DOD,Small Business Innovation Research,www.defensesbirsttr.mil/
DOD,State Facility Boards,sfb.dodlive.mil
DOD,Television-Audio Support Activity,tasa.dma.mil/
DOD,Test and Evaluation Enterprise,www.test-evaluation.osd.mil
DOD,The Eisenhower School,es.ndu.edu/
DOD,The Executive Secretary,execsec.defense.gov/
DOD,"The Office of the Director, Operational Test and Evaluation",www.dote.osd.mil
DOD,U.S. Forces Japan,www.usfj.mil/
DOD,U.S. Forces Korea,www.usfk.mil/
DOD,Under Secretary of Defense for Personnel and Readiness,prhome.defense.gov/
DOD,Victim and Witness Assistance Council,vwac.defense.gov/
DOD,Warrior Care,warriorcare.dodlive.mil
DOD,Washington Headquarters,www.whs.mil
DOD,Web Enterprise Business (Web.mil),www.publicweb.dma.mil
DOD,White House Communications Agency,www.whitehousecommsagency.mil
Joint,Air Land Sea Application Center,www.alsa.mil
Joint,Combined Joint Task Force - Operation Inherent Resolve,www.inherentresolve.mil
Joint,Joint Base Anacostia-Bolling,www.jbab.jb.mil
Joint,Joint Base Andrews,www.jba.af.mil
Joint,Joint Base Charleston,www.jbcharleston.jb.mil/
Joint,Joint Base Elmendorf-Richardson,www.jber.jb.mil/
Joint,Joint Base Langley-Eustis,www.jble.af.mil
Joint,Joint Base McGuire-Dix-Lakehurst,www.jbmdl.jb.mil/
Joint,Joint Base San Antonio,www.jbsa.af.mil
Joint,Joint Chiefs of Staff,www.jcs.mil/
Joint,Joint Communications Unit,www.jcu.mil
Joint,Joint Interagency Task Force South,www.jiatfs.southcom.mil/
Joint,Joint Personnel Recovery Agency,www.jpra.mil/
Joint,Joint Service Committee on Military Justice,http://jsc.defense.gov
Joint,Joint Tactical Networking Center,www.jtnc.mil
Joint,Joint Task Force Civil Support,www.jtfcs.northcom.mil
Joint,Joint Task Force Guantanamo,www.jtfgtmo.southcom.mil
Joint,Joint Task Force North,www.jtfn.northcom.mil
Joint,Joint Task Force-Bravo,www.jtfb.southcom.mil
Joint,Joint Task Force-Space Defense,www.jtf-spacedefense.mil/
Joint,Joint Warfare Analysis Center,www.jwac.mil
Joint,North American Aerospace Defense Command (NORAD),www.norad.mil/
Joint,Plains Guardian,plainsguardian.dodlive.mil
Joint,U.S. Central Command,www.centcom.mil
Joint,U.S. Cyber Command,www.cybercom.mil
Joint,U.S. Northern Command,www.northcom.mil/
Joint,U.S. Pacific Command,www.pacom.mil/
Joint,U.S. Southern Command,www.southcom.mil
Joint,U.S. Space Command,www.spacecom.mil
Joint,U.S. Strategic Command,www.stratcom.mil
Joint,United Forces Command,www.unc.mil
Air Force,101st Air Refueling Wing*,www.101arw.ang.af.mil
Air Force,102nd Intelligence Wing,www.102iw.ang.af.mil
Air Force,103rd Airlift Wing,www.103aw.ang.af.mil
Air Force,104th Fighter Wing,www.104fw.ang.af.mil
Air Force,105th Airlift Wing,www.105aw.ang.af.mil
Air Force,106th Rescue Wing,www.106rqw.ang.af.mil
Air Force,107th Attack Wing,www.107attackwing.ang.af.mil
Air Force,108th Wing,www.108thwing.ang.af.mil
Air Force,109th Airlift Wing,www.109aw.ang.af.mil
Air Force,10th Air Force,www.10af.afrc.af.mil
Air Force,110th Wing,www.110atkw.ang.af.mil
Air Force,111th Attack Wing,www.111attackwing.ang.af.mil
Air Force,113th Wing,www.113wg.ang.af.mil
Air Force,114th Fighter Wing,www.114fw.ang.af.mil
Air Force,115th Fighter Wing,www.115fw.ang.af.mil
Air Force,116th Air Control Wing,www.116acw.ang.af.mil
Air Force,117th Air Refueling Wing,www.117arw.ang.af.mil
Air Force,118th Wing,www.118wg.ang.af.mil
Air Force,119th Wing,www.119wg.ang.af.mil
Air Force,120th Airlift Wing,www.120thairliftwing.ang.af.mil
Air Force,121st Air Refueling Wing,www.121arw.ang.af.mil
Air Force,122nd Fighter Wing,www.122fw.ang.af.mil
Air Force,123rd Airlift Wing,www.123aw.ang.af.mil
Air Force,124th Fighter Wing,www.124thfighterwing.ang.af.mil
Air Force,125th Fighter Wing (was Florida),www.125fw.ang.af.mil
Air Force,126th Air Refueling Wing,www.126arw.ang.af.mil/
Air Force,127th Wing,www.127wg.ang.af.mil
Air Force,128th Air Refueling Wing,www.128arw.ang.af.mil
Air Force,129th Rescue Wing,www.129rqw.ang.af.mil
Air Force,12th Air Force,www.12af.acc.af.mil
Air Force,12th Flying Training Wing,www.12ftw.af.mil/
Air Force,130th Airlift Wing,www.130aw.ang.af.mil
Air Force,131st Bomb Wing,www.131bw.ang.af.mil
Air Force,132nd Wing,www.132dwing.ang.af.mil
Air Force,133rd Airlift Wing,www.133aw.ang.af.mil
Air Force,134th Air Refueling Wing,www.134arw.ang.af.mil
Air Force,136th Airlift Wing,www.136aw.ang.af.mil
Air Force,137th Special Operations Wing,www.137sow.ang.af.mil
Air Force,138th Fighter Wing,www.138fw.ang.af.mil
Air Force,139th Airlift Wing,www.139aw.ang.af.mil
Air Force,140th Wing,www.140wg.ang.af.mil
Air Force,141st Air Refueling Wing,www.141arw.ang.af.mil
Air Force,142nd Fighter Wing,www.142fw.ang.af.mil
Air Force,143rd Airlift Wing,www.143aw.ang.af.mil
Air Force,144th Fighter Wing,www.144fw.ang.af.mil
Air Force,145th Airlift Wing,www.145aw.ang.af.mil
Air Force,146th Airlift Wing,www.146aw.ang.af.mil
Air Force,147th Reconnaissance Wing,www.147atkw.ang.af.mil
Air Force,148th Fighter Wing,www.148fw.ang.af.mil
Air Force,149th Fighter Wing,www.149fw.ang.af.mil
Air Force,150th Special Operations Wing,www.150sow.ang.af.mil
Air Force,151st Air Refueling Wing,www.151arw.ang.af.mil
Air Force,152nd Airlift Wing,www.152aw.ang.af.mil
Air Force,153rd Airlift Wing,www.153aw.ang.af.mil
Air Force,154th Wing,www.154wg.ang.af.mil
Air Force,155th Air Refueling Wing,www.155arw.ang.af.mil
Air Force,156th Wing,www.156wg.ang.af.mil
Air Force,157th Air Refueling Wing,www.157arw.ang.af.mil
Air Force,158th Fighter Wing,www.158fw.ang.af.mil
Air Force,159th Fighter Wing,www.159fw.ang.af.mil
Air Force,15th Air Force,www.15af.acc.af.mil
Air Force,15th Wing,www.15wing.af.mil
Air Force,161st Air Refueling Wing,www.161arw.ang.af.mil
Air Force,162nd Wing,www.162wing.ang.af.mil
Air Force,163rd Attack Wing,www.163atkw.ang.af.mil
Air Force,164th Airlift Wing,www.164aw.ang.af.mil
Air Force,165th Airlift Wing,www.165aw.ang.af.mil
Air Force,166th Airlift Wing,www.166aw.ang.af.mil
Air Force,167th Airlift Wing,www.167aw.ang.af.mil
Air Force,168th Air Refueling Wing,www.168wg.ang.af.mil
Air Force,169th Fighter Wing,www.169fw.ang.af.mil
Air Force,16th Air Force,www.16af.af.mil
Air Force,171st Air Refueling Wing,www.171arw.ang.af.mil
Air Force,172nd Airlift Wing,www.172aw.ang.af.mil
Air Force,173rd Fighter Wing,www.173fw.ang.af.mil
Air Force,174th Attack Wing,www.174attackwing.ang.af.mil
Air Force,175th Wing,www.175wg.ang.af.mil
Air Force,176th Wing,www.176wg.ang.af.mil
Air Force,177th Fighter Wing,www.177fw.ang.af.mil
Air Force,178th Wing,www.178wing.ang.af.mil
Air Force,179th Airlift Wing,www.179aw.ang.af.mil
Air Force,180th Fighter Wing,www.180fw.ang.af.mil
Air Force,181st Intelligence Wing,www.181iw.ang.af.mil
Air Force,182nd Airlift Wing,www.182aw.ang.af.mil
Air Force,183rd Fighter Wing,www.183wg.ang.af.mil
Air Force,184th Intelligence Wing,www.184iw.ang.af.mil
Air Force,185th Air Refueling Wing,www.185arw.ang.af.mil
Air Force,186th Air Refueling Wing,www.186arw.ang.af.mil
Air Force,187th Fighter Wing,www.187fw.ang.af.mil
Air Force,188th Wing,www.188wg.ang.af.mil
Air Force,189th Airlift Wing,www.189aw.ang.af.mil
Air Force,18th Air Force,www.18af.amc.af.mil
Air Force,190th Air Refueling Wing,www.190arw.ang.af.mil
Air Force,192nd Fighter Wing,www.192wg.ang.af.mil
Air Force,193rd Special Operations Wing,www.193sow.ang.af.mil
Air Force,194th Wing,www.194wg.ang.af.mil
Air Force,195th Wing,www.195wg.ang.af.mil
Air Force,1st Air Force (AFNORTH),www.1af.acc.af.mil
Air Force,20th Air Force,www.20af.af.mil
Air Force,22nd Air Force,www.22af.afrc.af.mil
Air Force,24th Special Operations Wing (Air Force Special Tactics),www.airforcespecialtactics.af.mil
Air Force,25th Air Force,www.25af.af.mil
Air Force,2nd Air Force,www.2af.aetc.af.mil
Air Force,301st Fighter Wing,www.301fw.afrc.af.mil
Air Force,302nd Airlift Wing,www.302aw.afrc.af.mil
Air Force,307th Bomb Wing,www.307bw.afrc.af.mil
Air Force,310th Space Wing,www.310sw.afrc.af.mil
Air Force,315th Airlift Wing,www.315aw.afrc.af.mil
Air Force,33rd Fighter Wing,www.33fw.af.mil
Air Force,340th Flying Training Group,www.340ftg.afrc.af.mil
Air Force,349th Air Mobility Wing,www.349amw.afrc.af.mil
Air Force,352nd Special Operations Wing,www.352sow.af.mil
Air Force,353rd Special Operations Group,www.353sog.af.mil
Air Force,37th Training Wing,www.37trw.af.mil
Air Force,388th Fighter Wing,www.388fw.acc.af.mil
Air Force,403rd Wing,www.403wg.afrc.af.mil
Air Force,413th Flight Training Group,www.413ftg.afrc.af.mil
Air Force,419th Fighter Wing,www.419fw.afrc.af.mil
Air Force,433rd Airlift Wing,www.433aw.afrc.af.mil
Air Force,442nd Fighter Wing,www.442fw.afrc.af.mil
Air Force,445th Airlift Wing,www.445aw.afrc.af.mil
Air Force,446th Airlift Wing,www.446aw.afrc.af.mil
Air Force,459th Air Refueling Wing,www.459arw.afrc.af.mil
Air Force,477th Fighter Group,www.477fg.afrc.af.mil
Air Force,492nd Special Operations Wing,www.492sow.af.mil
Air Force,4th Air Force,www.4af.afrc.af.mil
Air Force,501st Combat Support Wing,www.501csw.usafe.af.mil
Air Force,505th Command and Control Wing,www.505ccw.acc.af.mil
Air Force,507th Air Refueling Wing,www.507arw.afrc.af.mil
Air Force,512th Airlift Wing,www.512aw.afrc.af.mil
Air Force,514th Air Mobility Wing,www.514amw.afrc.af.mil
Air Force,521st Air Mobility Operations Wing,www.521amow.af.mil/
Air Force,53rd Wing,www.53rdwing.af.mil
Air Force,552nd Air Control Wing,www.552acw.acc.af.mil
Air Force,557th Weather Wing,www.557weatherwing.af.mil
Air Force,59th Medical Wing,www.59mdw.af.mil
Air Force,5th Air Force,www.5af.pacaf.af.mil
Air Force,618th Tanker Airlift Control Center,www.618tacc.amc.af.mil
Air Force,624th Regional Support Group,www.624rsg.afrc.af.mil
Air Force,79th Medical Wing,www.jba.af.mil/
Air Force,7th Air Force,www.7af.pacaf.af.mil
Air Force,8th Air Force,www.8af.af.mil
Air Force,908th Airlift Wing,www.908aw.afrc.af.mil
Air Force,913th Airlift Group,www.913ag.afrc.af.mil
Air Force,916th Air Refueling Wing,www.916arw.afrc.af.mil
Air Force,919th Special Operations Wing,www.919sow.afrc.af.mil
Air Force,920th Rescue Wing,www.920rqw.afrc.af.mil
Air Force,926th Wing,www.926wing.afrc.af.mil
Air Force,927th Air Refueling Wing,www.927arw.afrc.af.mil
Air Force,931st Air Refueling Wing,www.931arw.afrc.af.mil/
Air Force,932nd Airlift Wing,www.932aw.afrc.af.mil
Air Force,940th Air Refueling Wing,www.940arw.afrc.af.mil
Air Force,943rd Rescue Group,www.943rqg.afrc.af.mil
Air Force,944th Fighter Wing,www.944fw.afrc.af.mil
Air Force,960th Cyberspace Operations Group,www.960cyber.afrc.af.mil
Air Force,AFH1 and Enlisted Promotion Study Guides,www.studyguides.af.mil
Air Force,AFWERX,www.afwerx.af.mil
Air Force,Air Combat Command,www.acc.af.mil
Air Force,Air Education and Training Command,www.aetc.af.mil
Air Force,Air Force Acquisition,http://ww3.safaq.hq.af.mil
Air Force,Air Force Agency for Modeling and Simulation,www.afams.af.mil
Air Force,Air Force Alternative Dispute Resolution Program,www.adr.af.mil
Air Force,Air Force Audit Agency,www.afaa.af.mil
Air Force,Air Force Bands (all),www.music.af.mil
Air Force,Air Force Basic Military Training,www.basictraining.af.mil
Air Force,Air Force Business Enterprise Systems,www.airforcebes.af.mil
Air Force,Air Force Center of Excellence for Medical Multimedia,www.cemm.af.mil
Air Force,Air Force Chief Modeling and Simulation Office,www.modsim.af.mil
Air Force,Air Force Civil Engineer Center,www.afcec.af.mil
Air Force,Air Force Declassification,www.secretsdeclassified.af.mil
Air Force,Air Force District of Washington,www.afdw.af.mil
Air Force,Air Force Entertainment Liaison Office,www.airforcehollywood.af.mil
Air Force,Air Force e-Publishing,www.e-publishing.af.mil
Air Force,Air Force Financial Management & Comptroller,www.saffm.hq.af.mil
Air Force,Air Force Freedom of Information Act,www.foia.af.mil
Air Force,Air Force General Counsel,www.safgc.hq.af.mil
Air Force,Air Force Global Strike Command,www.afgsc.af.mil
Air Force,Air Force Historical Research Agency,www.afhra.af.mil
Air Force,Air Force Historical Studies Office,www.afhistory.af.mil
Air Force,Air Force History and Museums,www.afhistoryandmuseums.af.mil/
Air Force,Air Force Housing,www.housing.af.mil
Air Force,Air Force Installation and Mission Support Center,www.afimsc.af.mil
Air Force,Air Force International Affairs,www.safia.hq.af.mil
Air Force,Air Force Learning Professionals,www.learningprofessionals.af.mil
Air Force,Air Force Life Cycle Management Center,www.aflcmc.af.mil
Air Force,Air Force Manpower Analysis Agency,www.afmaa.af.mil
Air Force,Air Force Materiel Command,www.afmc.af.mil
Air Force,Air Force Medical Service,www.airforcemedicine.af.mil
Air Force,Air Force Mortuary Affairs,www.mortuary.af.mil
Air Force,Air Force Network Centric Solutions (NetCents),www.netcents.af.mil
Air Force,Air Force Network Integration Center,http://www.cyberspacecapabilitiescenter.af.mil
Air Force,Air Force Nuclear Weapons Center,www.afnwc.af.mil/
Air Force,Air Force Office of Special Investigations,www.osi.af.mil
Air Force,Air Force OPEN Data Program,www.data.af.mil/
Air Force,Air Force Operational Test and Evaluation Center,www.afotec.af.mil
Air Force,Air Force Outreach,www.afoutreach.af.mil
Air Force,Air Force Personnel Center,www.afpc.af.mil
Air Force,Air Force Privacy Act,www.privacy.af.mil
Air Force,Air Force Public Affairs (Agency),www.publicaffairs.af.mil
Air Force,Air Force Recruiting Service,www.recruiting.af.mil
Air Force,Air Force Research Laboratory,www.afrl.af.mil/
Air Force,Air Force Reserve Command,www.afrc.af.mil
Air Force,Air Force Resilience,www.resilience.af.mil
Air Force,Air Force Retiree Services,www.retirees.af.mil
Air Force,Air Force Safety Center,www.safety.af.mil
Air Force,Air Force Scientific Advisory Board,www.scientificadvisoryboard.af.mil/
Air Force,Air Force Security Forces Center,www.afsfc.af.mil
Air Force,Air Force Small Business Innovation Research and,www.afsbirsttr.af.mil
Air Force,Air Force Small Business Programs,www.airforcesmallbiz.af.mil
Air Force,Air Force Space Command,www.afspc.af.mil
Air Force,Air Force Special Operations Command,www.afsoc.af.mil
Air Force,Air Force Strategic Integration Group,www.afsig.af.mil
Air Force,Air Force Sustainment Center,www.afsc.af.mil
Air Force,Air Force Technology Transfer and Transition Program,www.aft3.af.mil
Air Force,Air Force Test Center,www.aftc.af.mil
Air Force,Air Force Trademark and Licensing Program,www.trademark.af.mil
Air Force,Air Force Warfighting Integration Capability,www.afwic.af.mil
Air Force,Air Force Wounded Warrior,www.woundedwarrior.af.mil
Air Force,Air Mobility Command,www.amc.af.mil
Air Force,Air National Guard,www.ang.af.mil
Air Force,Air National Guard Training and Education Center,www.angtec.ang.af.mil
Air Force,Air Reserve Personnel Center,www.arpc.afrc.af.mil
Air Force,Air University,www.airuniversity.af.mil
Air Force,Airman Magazine,www.airmanmagazine.af.mil
Air Force,Alpena Combat Readiness Training Center,www.alpenacrtc.ang.af.mil
Air Force,Altus Air Force Base,www.altus.af.mil
Air Force,Andersen Air Force Base,www.andersen.af.mil
Air Force,ANG AFRC Command Test Center,www.aatc.ang.af.mil
Air Force,Arnold Air Force Base,www.arnold.af.mil
Air Force,Aviano Air Base,www.aviano.af.mil
Air Force,Barksdale Air Force Base,www.barksdale.af.mil
Air Force,Be Ready,www.beready.af.mil
Air Force,Beale Air Force Base,www.beale.af.mil
Air Force,Cannon Air Force Base,www.cannon.af.mil
Air Force,Center for Excellence in Medical Multimedia (CEMM),www.cemm.af.mil/
Air Force,Citizen Airman Magazine,www.citamn.afrc.af.mil
Air Force,Columbus Air Force Base,www.columbus.af.mil
Air Force,Creech Air Force Base,www.creech.af.mil
Air Force,DAF AI Accelerator,www.aiaccelerator.af.mil/
Air Force,Davis-Monthan Air Force Base,www.dm.af.mil
Air Force,Defense Institute for Medical Operations,www.dimo.af.mil
Air Force,Dobbins Air Reserve Base,www.dobbins.afrc.af.mil
Air Force,Dover Air Force Base,www.dover.af.mil
Air Force,Dyess Air Force Base,www.dyess.af.mil
Air Force,Eastern Air Defense Sector,www.eads.ang.af.mil
Air Force,Edwards Air Force Base,www.edwards.af.mil/
Air Force,Eglin Air Force Base,www.eglin.af.mil
Air Force,Eielson Air Force Base,www.eielson.af.mil
Air Force,Ellsworth Air Force Base,www.ellsworth.af.mil
Air Force,F.E. Warren Air Force Base,www.warren.af.mil
Air Force,Fairchild Air Force Base,www.fairchild.af.mil
Air Force,Goodfellow Air Force Base,www.goodfellow.af.mil
Air Force,GoSere,www.gosere.af.mil
Air Force,Grand Forks Air Force Base,www.grandforks.af.mil
Air Force,Grissom Air Reserve Base,www.grissom.afrc.af.mil
Air Force,Hanscom Air Force Base,www.hanscom.af.mil
Air Force,Headquarters RIO,www.hqrio.afrc.af.mil
Air Force,Hill Air Force Base,www.hill.af.mil
Air Force,Holloman Air Force Base,www.holloman.af.mil
Air Force,Homestead Air Reserve Base,www.homestead.afrc.af.mil
Air Force,Hurlburt Field,www.hurlburt.af.mil
Air Force,Incirlik Air Base,www.incirlik.af.mil
Air Force,"Installations, Environment & Logistics",www.safie.hq.af.mil
Air Force,JAG Reporter,www.jagreporter.af.mil
Air Force,Joint Base Andrews,www.jba.af.mil
Air Force,Joint Base Charleston,www.jbcharleston.jb.mil
Air Force,Joint Base Elmendorf-Richardson,www.jber.af.mil
Air Force,Joint Base Langley-Eustis,www.jble.af.mil
Air Force,Joint Base McGuire-Dix-Lakehurst,www.jbmdl.jb.mil/
Air Force,Joint Base San Antonio,www.jbsa.mil
Air Force,Kadena Air Base,www.kadena.af.mil
Air Force,Keesler Air Force Base,www.keesler.af.mil
Air Force,Kirtland Air Force Base,www.kirtland.af.mil
Air Force,Kunsan Air Base,www.kunsan.af.mil
Air Force,Laughlin Air Force Base,www.laughlin.af.mil
Air Force,Little Rock Air Force Base,www.littlerock.af.mil
Air Force,Luke Air Force Base,www.luke.af.mil
Air Force,MacDill Air Force Base,www.macdill.af.mil
Air Force,Malmstrom Air Force Base,www.malmstrom.af.mil
Air Force,March Air Reserve Base,www.march.afrc.af.mil
Air Force,Maxwell Air Force Base,www.maxwell.af.mil
Air Force,McConnell Air Force Base,www.mcconnell.af.mil
Air Force,Military Auxiliary Radio System,www.mars.af.mil
Air Force,Minneapolis-St Paul Air Reserve Station,www.minneapolis.afrc.af.mil
Air Force,Minot Air Force Base,www.minot.af.mil
Air Force,Misawa Air Base,www.misawa.af.mil
Air Force,Mississippi Combat Readiness Center,www.gulfportcrtc.ang.af.mil
Air Force,Moody Air Force Base,www.moody.af.mil
Air Force,Mountain Home Air Force Base,www.mountainhome.af.mil
Air Force,National Air and Space Intelligence Center,www.nasic.af.mil
Air Force,National Aviation Intelligence Integration Office - NAI2O,AirDomainIntelligence.gov
Air Force,National Aviation Intelligence Integration Office (NAI20),www.airdomainintelligence.mil/
Air Force,National Museum of the United States Air Force,www.nationalmuseum.af.mil
Air Force,Nellis Air Force Base,www.nellis.af.mil
Air Force,New Jersey Air National Guard,www.njang.ang.af.mil
Air Force,Niagara Falls Air Reserve Station,www.niagara.afrc.af.mil
Air Force,Offutt Air Force Base,www.offutt.af.mil
Air Force,Osan Air Base,www.osan.af.mil
Air Force,Pacific Air Forces,www.pacaf.af.mil
Air Force,Pittsburgh IAP Air Reserve Station,www.pittsburgh.afrc.af.mil
Air Force,Pope Field,www.pope.af.mil
Air Force,Profession of Arms Center of Expertise,www.airman.af.mil
Air Force,Ramstein Air Base,www.ramstein.af.mil
Air Force,Robins Air Force Base,www.robins.af.mil
Air Force,Royal Air Force Lakenheath,www.lakenheath.af.mil
Air Force,Royal Air Force Mildenhall,www.mildenhall.af.mil
Air Force,SAF/CIO A6 Information Dominance and CIO,www.safcn.af.mil/
Air Force,Scott Air Force Base,www.scott.af.mil
Air Force,Secretary of the Air Force Inspector General (SAF/IG),www.afinspectorgeneral.af.mil
Air Force,Seymour Johnson Air Force Base,www.seymourjohnson.af.mil
Air Force,Shaw Air Force Base,www.shaw.af.mil
Air Force,Sheppard Air Force Base,www.sheppard.af.mil
Air Force,Space Acquisition and Integration,www.safsq.hq.af.mil
Air Force,Spangdahlem Air Base,www.spangdahlem.af.mil
Air Force,Special Warfare Training Wing,www.specialwarfaretw.af.mil
Air Force,Team McChord,www.mcchord.af.mil
Air Force,Tesseract AF (HAF/A4L),www.tesseract.af.mil
Air Force,The Judge Advocate General's Corps,www.afjag.af.mil
Air Force,The Official Website for the U.S. Air Force,www.af.mil
Air Force,Tinker Air Force Base,www.tinker.af.mil
Air Force,Torch Magazine,www.torch.aetc.af.mil
Air Force,Travis Air Force Base,www.travis.af.mil
Air Force,Tyndall Air Force Base,www.tyndall.af.mil
Air Force,U.S. Air Force Basic Military Training Flight Photos,www.bmtflightphotos.af.mil
Air Force,U.S. Air Force Doctrine,www.doctrine.af.mil
Air Force,U.S. Air Force Expeditionary Center,www.expeditionarycenter.af.mil
Air Force,U.S. Air Forces Central Command,www.afcent.af.mil
Air Force,U.S. Air Forces in Europe,www.usafe.af.mil
Air Force,U.S. Space Force,www.spaceforce.mil/
Air Force,United States Air Force Academy,www.usafa.af.mil
Air Force,United States Air Force Honor Guard,www.honorguard.af.mil
Air Force,Vance Air Force Base,www.vance.af.mil
Air Force,Veterans In Blue,www.veterans-in-blue.af.mil
Air Force,Volk Field,www.volkfield.ang.af.mil
Air Force,"Wavelength Detachment 1, 850th Spectrum Warfare Group",www.wavelength.af.mil
Air Force,Western Air Force Defense Sector,www.wads.ang.af.mil
