target_url,agency,bureau,branch,source_list_mil_1
107attackwing.ang.af.mil,Air Force,107th Attack Wing,Executive,TRUE
108thwing.ang.af.mil,Air Force,108th Wing,Executive,TRUE
109aw.ang.af.mil,Air Force,109th Airlift Wing,Executive,TRUE
10af.afrc.af.mil,Air Force,10th Air Force,Executive,TRUE
110atkw.ang.af.mil,Air Force,110th Wing,Executive,TRUE
111attackwing.ang.af.mil,Air Force,111th Attack Wing,Executive,TRUE
113wg.ang.af.mil,Air Force,113th Wing,Executive,TRUE
114fw.ang.af.mil,Air Force,114th Fighter Wing,Executive,TRUE
115fw.ang.af.mil,Air Force,115th Fighter Wing,Executive,TRUE
116acw.ang.af.mil,Air Force,116th Air Control Wing,Executive,TRUE
117arw.ang.af.mil,Air Force,117th Air Refueling Wing,Executive,TRUE
118wg.ang.af.mil,Air Force,118th Wing,Executive,TRUE
119wg.ang.af.mil,Air Force,119th Wing,Executive,TRUE
120thairliftwing.ang.af.mil,Air Force,120th Airlift Wing,Executive,TRUE
121arw.ang.af.mil,Air Force,121st Air Refueling Wing,Executive,TRUE
122fw.ang.af.mil,Air Force,122nd Fighter Wing,Executive,TRUE
123aw.ang.af.mil,Air Force,123rd Airlift Wing,Executive,TRUE
124thfighterwing.ang.af.mil,Air Force,124th Fighter Wing,Executive,TRUE
125fw.ang.af.mil,Air Force,125th Fighter Wing (was Florida),Executive,TRUE
126arw.ang.af.mil,Air Force,126th Air Refueling Wing,Executive,TRUE
127wg.ang.af.mil,Air Force,127th Wing,Executive,TRUE
128arw.ang.af.mil,Air Force,128th Air Refueling Wing,Executive,TRUE
129rqw.ang.af.mil,Air Force,129th Rescue Wing,Executive,TRUE
12af.acc.af.mil,Air Force,12th Air Force,Executive,TRUE
12ftw.af.mil,Air Force,12th Flying Training Wing,Executive,TRUE
130aw.ang.af.mil,Air Force,130th Airlift Wing,Executive,TRUE
131bw.ang.af.mil,Air Force,131st Bomb Wing,Executive,TRUE
132dwing.ang.af.mil,Air Force,132nd Wing,Executive,TRUE
133aw.ang.af.mil,Air Force,133rd Airlift Wing,Executive,TRUE
134arw.ang.af.mil,Air Force,134th Air Refueling Wing,Executive,TRUE
136aw.ang.af.mil,Air Force,136th Airlift Wing,Executive,TRUE
137sow.ang.af.mil,Air Force,137th Special Operations Wing,Executive,TRUE
138fw.ang.af.mil,Air Force,138th Fighter Wing,Executive,TRUE
139aw.ang.af.mil,Air Force,139th Airlift Wing,Executive,TRUE
140wg.ang.af.mil,Air Force,140th Wing,Executive,TRUE
141arw.ang.af.mil,Air Force,141st Air Refueling Wing,Executive,TRUE
142fw.ang.af.mil,Air Force,142nd Fighter Wing,Executive,TRUE
143aw.ang.af.mil,Air Force,143rd Airlift Wing,Executive,TRUE
144fw.ang.af.mil,Air Force,144th Fighter Wing,Executive,TRUE
145aw.ang.af.mil,Air Force,145th Airlift Wing,Executive,TRUE
146aw.ang.af.mil,Air Force,146th Airlift Wing,Executive,TRUE
147atkw.ang.af.mil,Air Force,147th Reconnaissance Wing,Executive,TRUE
148fw.ang.af.mil,Air Force,148th Fighter Wing,Executive,TRUE
149fw.ang.af.mil,Air Force,149th Fighter Wing,Executive,TRUE
150sow.ang.af.mil,Air Force,150th Special Operations Wing,Executive,TRUE
151arw.ang.af.mil,Air Force,151st Air Refueling Wing,Executive,TRUE
152aw.ang.af.mil,Air Force,152nd Airlift Wing,Executive,TRUE
153aw.ang.af.mil,Air Force,153rd Airlift Wing,Executive,TRUE
154wg.ang.af.mil,Air Force,154th Wing,Executive,TRUE
155arw.ang.af.mil,Air Force,155th Air Refueling Wing,Executive,TRUE
156wg.ang.af.mil,Air Force,156th Wing,Executive,TRUE
157arw.ang.af.mil,Air Force,157th Air Refueling Wing,Executive,TRUE
158fw.ang.af.mil,Air Force,158th Fighter Wing,Executive,TRUE
159fw.ang.af.mil,Air Force,159th Fighter Wing,Executive,TRUE
15af.acc.af.mil,Air Force,15th Air Force,Executive,TRUE
15wing.af.mil,Air Force,15th Wing,Executive,TRUE
161arw.ang.af.mil,Air Force,161st Air Refueling Wing,Executive,TRUE
162wing.ang.af.mil,Air Force,162nd Wing,Executive,TRUE
163atkw.ang.af.mil,Air Force,163rd Attack Wing,Executive,TRUE
164aw.ang.af.mil,Air Force,164th Airlift Wing,Executive,TRUE
165aw.ang.af.mil,Air Force,165th Airlift Wing,Executive,TRUE
166aw.ang.af.mil,Air Force,166th Airlift Wing,Executive,TRUE
167aw.ang.af.mil,Air Force,167th Airlift Wing,Executive,TRUE
168wg.ang.af.mil,Air Force,168th Air Refueling Wing,Executive,TRUE
169fw.ang.af.mil,Air Force,169th Fighter Wing,Executive,TRUE
16af.af.mil,Air Force,16th Air Force,Executive,TRUE
171arw.ang.af.mil,Air Force,171st Air Refueling Wing,Executive,TRUE
172aw.ang.af.mil,Air Force,172nd Airlift Wing,Executive,TRUE
173fw.ang.af.mil,Air Force,173rd Fighter Wing,Executive,TRUE
174attackwing.ang.af.mil,Air Force,174th Attack Wing,Executive,TRUE
175wg.ang.af.mil,Air Force,175th Wing,Executive,TRUE
176wg.ang.af.mil,Air Force,176th Wing,Executive,TRUE
177fw.ang.af.mil,Air Force,177th Fighter Wing,Executive,TRUE
178wing.ang.af.mil,Air Force,178th Wing,Executive,TRUE
179aw.ang.af.mil,Air Force,179th Airlift Wing,Executive,TRUE
180fw.ang.af.mil,Air Force,180th Fighter Wing,Executive,TRUE
181iw.ang.af.mil,Air Force,181st Intelligence Wing,Executive,TRUE
182aw.ang.af.mil,Air Force,182nd Airlift Wing,Executive,TRUE
183wg.ang.af.mil,Air Force,183rd Fighter Wing,Executive,TRUE
184iw.ang.af.mil,Air Force,184th Intelligence Wing,Executive,TRUE
185arw.ang.af.mil,Air Force,185th Air Refueling Wing,Executive,TRUE
186arw.ang.af.mil,Air Force,186th Air Refueling Wing,Executive,TRUE
187fw.ang.af.mil,Air Force,187th Fighter Wing,Executive,TRUE
188wg.ang.af.mil,Air Force,188th Wing,Executive,TRUE
189aw.ang.af.mil,Air Force,189th Airlift Wing,Executive,TRUE
18af.amc.af.mil,Air Force,18th Air Force,Executive,TRUE
190arw.ang.af.mil,Air Force,190th Air Refueling Wing,Executive,TRUE
192wg.ang.af.mil,Air Force,192nd Fighter Wing,Executive,TRUE
193sow.ang.af.mil,Air Force,193rd Special Operations Wing,Executive,TRUE
194wg.ang.af.mil,Air Force,194th Wing,Executive,TRUE
195wg.ang.af.mil,Air Force,195th Wing,Executive,TRUE
1af.acc.af.mil,Air Force,1st Air Force (AFNORTH),Executive,TRUE
20af.af.mil,Air Force,20th Air Force,Executive,TRUE
22af.afrc.af.mil,Air Force,22nd Air Force,Executive,TRUE
airforcespecialtactics.af.mil,Air Force,24th Special Operations Wing (Air Force Special Tactics),Executive,TRUE
25af.af.mil,Air Force,25th Air Force,Executive,TRUE
2af.aetc.af.mil,Air Force,2nd Air Force,Executive,TRUE
301fw.afrc.af.mil,Air Force,301st Fighter Wing,Executive,TRUE
302aw.afrc.af.mil,Air Force,302nd Airlift Wing,Executive,TRUE
307bw.afrc.af.mil,Air Force,307th Bomb Wing,Executive,TRUE
310sw.afrc.af.mil,Air Force,310th Space Wing,Executive,TRUE
315aw.afrc.af.mil,Air Force,315th Airlift Wing,Executive,TRUE
33fw.af.mil,Air Force,33rd Fighter Wing,Executive,TRUE
340ftg.afrc.af.mil,Air Force,340th Flying Training Group,Executive,TRUE
349amw.afrc.af.mil,Air Force,349th Air Mobility Wing,Executive,TRUE
352sow.af.mil,Air Force,352nd Special Operations Wing,Executive,TRUE
353sog.af.mil,Air Force,353rd Special Operations Group,Executive,TRUE
37trw.af.mil,Air Force,37th Training Wing,Executive,TRUE
388fw.acc.af.mil,Air Force,388th Fighter Wing,Executive,TRUE
403wg.afrc.af.mil,Air Force,403rd Wing,Executive,TRUE
413ftg.afrc.af.mil,Air Force,413th Flight Training Group,Executive,TRUE
419fw.afrc.af.mil,Air Force,419th Fighter Wing,Executive,TRUE
433aw.afrc.af.mil,Air Force,433rd Airlift Wing,Executive,TRUE
442fw.afrc.af.mil,Air Force,442nd Fighter Wing,Executive,TRUE
445aw.afrc.af.mil,Air Force,445th Airlift Wing,Executive,TRUE
446aw.afrc.af.mil,Air Force,446th Airlift Wing,Executive,TRUE
459arw.afrc.af.mil,Air Force,459th Air Refueling Wing,Executive,TRUE
477fg.afrc.af.mil,Air Force,477th Fighter Group,Executive,TRUE
492sow.af.mil,Air Force,492nd Special Operations Wing,Executive,TRUE
4af.afrc.af.mil,Air Force,4th Air Force,Executive,TRUE
501csw.usafe.af.mil,Air Force,501st Combat Support Wing,Executive,TRUE
505ccw.acc.af.mil,Air Force,505th Command and Control Wing,Executive,TRUE
507arw.afrc.af.mil,Air Force,507th Air Refueling Wing,Executive,TRUE
512aw.afrc.af.mil,Air Force,512th Airlift Wing,Executive,TRUE
514amw.afrc.af.mil,Air Force,514th Air Mobility Wing,Executive,TRUE
521amow.af.mil,Air Force,521st Air Mobility Operations Wing,Executive,TRUE
53rdwing.af.mil,Air Force,53rd Wing,Executive,TRUE
552acw.acc.af.mil,Air Force,552nd Air Control Wing,Executive,TRUE
557weatherwing.af.mil,Air Force,557th Weather Wing,Executive,TRUE
59mdw.af.mil,Air Force,59th Medical Wing,Executive,TRUE
5af.pacaf.af.mil,Air Force,5th Air Force,Executive,TRUE
618tacc.amc.af.mil,Air Force,618th Tanker Airlift Control Center,Executive,TRUE
624rsg.afrc.af.mil,Air Force,624th Regional Support Group,Executive,TRUE
7af.pacaf.af.mil,Air Force,7th Air Force,Executive,TRUE
8af.af.mil,Air Force,8th Air Force,Executive,TRUE
908aw.afrc.af.mil,Air Force,908th Airlift Wing,Executive,TRUE
913ag.afrc.af.mil,Air Force,913th Airlift Group,Executive,TRUE
916arw.afrc.af.mil,Air Force,916th Air Refueling Wing,Executive,TRUE
919sow.afrc.af.mil,Air Force,919th Special Operations Wing,Executive,TRUE
920rqw.afrc.af.mil,Air Force,920th Rescue Wing,Executive,TRUE
926wing.afrc.af.mil,Air Force,926th Wing,Executive,TRUE
927arw.afrc.af.mil,Air Force,927th Air Refueling Wing,Executive,TRUE
931arw.afrc.af.mil,Air Force,931st Air Refueling Wing,Executive,TRUE
932aw.afrc.af.mil,Air Force,932nd Airlift Wing,Executive,TRUE
940arw.afrc.af.mil,Air Force,940th Air Refueling Wing,Executive,TRUE
943rqg.afrc.af.mil,Air Force,943rd Rescue Group,Executive,TRUE
944fw.afrc.af.mil,Air Force,944th Fighter Wing,Executive,TRUE
960cyber.afrc.af.mil,Air Force,960th Cyberspace Operations Group,Executive,TRUE
studyguides.af.mil,Air Force,AFH1 and Enlisted Promotion Study Guides,Executive,TRUE
afwerx.af.mil,Air Force,AFWERX,Executive,TRUE
acc.af.mil,Air Force,Air Combat Command,Executive,TRUE
aetc.af.mil,Air Force,Air Education and Training Command,Executive,TRUE
ww3.safaq.hq.af.mil,Air Force,Air Force Acquisition,Executive,TRUE
afams.af.mil,Air Force,Air Force Agency for Modeling and Simulation,Executive,TRUE
adr.af.mil,Air Force,Air Force Alternative Dispute Resolution Program,Executive,TRUE
afaa.af.mil,Air Force,Air Force Audit Agency,Executive,TRUE
music.af.mil,Air Force,Air Force Bands (all),Executive,TRUE
basictraining.af.mil,Air Force,Air Force Basic Military Training,Executive,TRUE
airforcebes.af.mil,Air Force,Air Force Business Enterprise Systems,Executive,TRUE
cemm.af.mil,Air Force,Air Force Center of Excellence for Medical Multimedia,Executive,TRUE
modsim.af.mil,Air Force,Air Force Chief Modeling and Simulation Office,Executive,TRUE
afcec.af.mil,Air Force,Air Force Civil Engineer Center,Executive,TRUE
secretsdeclassified.af.mil,Air Force,Air Force Declassification,Executive,TRUE
afdw.af.mil,Air Force,Air Force District of Washington,Executive,TRUE
airforcehollywood.af.mil,Air Force,Air Force Entertainment Liaison Office,Executive,TRUE
e-publishing.af.mil,Air Force,Air Force e-Publishing,Executive,TRUE
saffm.hq.af.mil,Air Force,Air Force Financial Management & Comptroller,Executive,TRUE
foia.af.mil,Air Force,Air Force Freedom of Information Act,Executive,TRUE
safgc.hq.af.mil,Air Force,Air Force General Counsel,Executive,TRUE
afgsc.af.mil,Air Force,Air Force Global Strike Command,Executive,TRUE
afhra.af.mil,Air Force,Air Force Historical Research Agency,Executive,TRUE
afhistory.af.mil,Air Force,Air Force Historical Studies Office,Executive,TRUE
afhistoryandmuseums.af.mil,Air Force,Air Force History and Museums,Executive,TRUE
housing.af.mil,Air Force,Air Force Housing,Executive,TRUE
afimsc.af.mil,Air Force,Air Force Installation and Mission Support Center,Executive,TRUE
safia.hq.af.mil,Air Force,Air Force International Affairs,Executive,TRUE
learningprofessionals.af.mil,Air Force,Air Force Learning Professionals,Executive,TRUE
aflcmc.af.mil,Air Force,Air Force Life Cycle Management Center,Executive,TRUE
afmaa.af.mil,Air Force,Air Force Manpower Analysis Agency,Executive,TRUE
afmc.af.mil,Air Force,Air Force Materiel Command,Executive,TRUE
airforcemedicine.af.mil,Air Force,Air Force Medical Service,Executive,TRUE
mortuary.af.mil,Air Force,Air Force Mortuary Affairs,Executive,TRUE
netcents.af.mil,Air Force,Air Force Network Centric Solutions (NetCents),Executive,TRUE
cyberspacecapabilitiescenter.af.mil,Air Force,Air Force Network Integration Center,Executive,TRUE
afnwc.af.mil,Air Force,Air Force Nuclear Weapons Center,Executive,TRUE
osi.af.mil,Air Force,Air Force Office of Special Investigations,Executive,TRUE
data.af.mil,Air Force,Air Force OPEN Data Program,Executive,TRUE
afotec.af.mil,Air Force,Air Force Operational Test and Evaluation Center,Executive,TRUE
afoutreach.af.mil,Air Force,Air Force Outreach,Executive,TRUE
afpc.af.mil,Air Force,Air Force Personnel Center,Executive,TRUE
privacy.af.mil,Air Force,Air Force Privacy Act,Executive,TRUE
publicaffairs.af.mil,Air Force,Air Force Public Affairs (Agency),Executive,TRUE
recruiting.af.mil,Air Force,Air Force Recruiting Service,Executive,TRUE
afrl.af.mil,Air Force,Air Force Research Laboratory,Executive,TRUE
afrc.af.mil,Air Force,Air Force Reserve Command,Executive,TRUE
resilience.af.mil,Air Force,Air Force Resilience,Executive,TRUE
retirees.af.mil,Air Force,Air Force Retiree Services,Executive,TRUE
safety.af.mil,Air Force,Air Force Safety Center,Executive,TRUE
scientificadvisoryboard.af.mil,Air Force,Air Force Scientific Advisory Board,Executive,TRUE
afsfc.af.mil,Air Force,Air Force Security Forces Center,Executive,TRUE
afsbirsttr.af.mil,Air Force,Air Force Small Business Innovation Research and,Executive,TRUE
airforcesmallbiz.af.mil,Air Force,Air Force Small Business Programs,Executive,TRUE
afspc.af.mil,Air Force,Air Force Space Command,Executive,TRUE
afsoc.af.mil,Air Force,Air Force Special Operations Command,Executive,TRUE
afsig.af.mil,Air Force,Air Force Strategic Integration Group,Executive,TRUE
afsc.af.mil,Air Force,Air Force Sustainment Center,Executive,TRUE
aft3.af.mil,Air Force,Air Force Technology Transfer and Transition Program,Executive,TRUE
aftc.af.mil,Air Force,Air Force Test Center,Executive,TRUE
trademark.af.mil,Air Force,Air Force Trademark and Licensing Program,Executive,TRUE
afwic.af.mil,Air Force,Air Force Warfighting Integration Capability,Executive,TRUE
woundedwarrior.af.mil,Air Force,Air Force Wounded Warrior,Executive,TRUE
amc.af.mil,Air Force,Air Mobility Command,Executive,TRUE
ang.af.mil,Air Force,Air National Guard,Executive,TRUE
angtec.ang.af.mil,Air Force,Air National Guard Training and Education Center,Executive,TRUE
arpc.afrc.af.mil,Air Force,Air Reserve Personnel Center,Executive,TRUE
airuniversity.af.mil,Air Force,Air University,Executive,TRUE
airmanmagazine.af.mil,Air Force,Airman Magazine,Executive,TRUE
alpenacrtc.ang.af.mil,Air Force,Alpena Combat Readiness Training Center,Executive,TRUE
altus.af.mil,Air Force,Altus Air Force Base,Executive,TRUE
andersen.af.mil,Air Force,Andersen Air Force Base,Executive,TRUE
aatc.ang.af.mil,Air Force,ANG AFRC Command Test Center,Executive,TRUE
arnold.af.mil,Air Force,Arnold Air Force Base,Executive,TRUE
aviano.af.mil,Air Force,Aviano Air Base,Executive,TRUE
barksdale.af.mil,Air Force,Barksdale Air Force Base,Executive,TRUE
beready.af.mil,Air Force,Be Ready,Executive,TRUE
beale.af.mil,Air Force,Beale Air Force Base,Executive,TRUE
cannon.af.mil,Air Force,Cannon Air Force Base,Executive,TRUE
citamn.afrc.af.mil,Air Force,Citizen Airman Magazine,Executive,TRUE
columbus.af.mil,Air Force,Columbus Air Force Base,Executive,TRUE
creech.af.mil,Air Force,Creech Air Force Base,Executive,TRUE
